2016-08-17 12:27:35,921 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:MyChatApp:0.0.1-SNAPSHOT @ C:\Users\MUM-00131-GNP01\TempWorkspace\MyChatApp\pom.xml.
2016-08-17 12:27:37,564 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyChatApp/src/main/java
2016-08-17 12:27:37,564 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MyChatApp/src/main/resources
2016-08-17 12:27:37,565 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyChatApp/src/test/java
2016-08-17 12:27:39,418 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2016-08-17 12:27:41,592 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-17 12:27:41,598 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-17 12:27:41,600 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-17 12:27:41,601 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MUM-00131-GNP01\TempWorkspace\MyChatApp\src\test\resources
2016-08-17 12:31:15,522 [Worker-38] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:MyChatApp:0.0.1-SNAPSHOT @ C:\Users\MUM-00131-GNP01\TempWorkspace\modified with index\MyChatApp\pom.xml.
2016-08-17 12:31:16,294 [Worker-38] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyChatApp/src/main/java
2016-08-17 12:31:16,295 [Worker-38] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MyChatApp/src/main/resources
2016-08-17 12:31:16,295 [Worker-38] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyChatApp/src/test/java
2016-08-17 12:31:16,449 [Worker-38] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 1 sec
2016-08-17 12:31:17,851 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-17 12:31:17,853 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
