127.0.0.1 - - [24/Aug/2016:16:22:23 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:22:24 +0530] "GET /MyChatApp/ HTTP/1.1" 200 12908
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:22:24 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:22:28 +0530] "GET /MyChatApp/resource/images/la.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:22:28 +0530] "GET /MyChatApp/resource/images/ny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:22:28 +0530] "GET /MyChatApp/resource/images/chicago.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:22:28 +0530] "GET /MyChatApp/resource/images/blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:22:28 +0530] "GET /MyChatApp/resource/images/blog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:22:28 +0530] "GET /MyChatApp/resource/images/blogchat1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:10 +0530] "GET /MyChatApp/ HTTP/1.1" 200 12908
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:10 +0530] "GET /MyChatApp/resource/images/chicago.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:10 +0530] "GET /MyChatApp/resource/images/blogchat1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:10 +0530] "GET /MyChatApp/resource/images/la.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:10 +0530] "GET /MyChatApp/resource/images/blog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:10 +0530] "GET /MyChatApp/resource/images/blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:10 +0530] "GET /MyChatApp/resource/images/ny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:10 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:11 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:11 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:11 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/Chat;jsessionid=10FA747F0602842FD5C4E3318E685B75 HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/demo.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/resource/libs/stomp-websocket/lib/stomp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/resource/app/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/resource/libs/sockjs/sockjs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/resource/app/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/resource/app/services.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/resource/libs/lodash/dist/lodash.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:12 +0530] "GET /MyChatApp/resource/libs/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:13 +0530] "GET /MyChatApp/chat/info HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:13 +0530] "GET /MyChatApp/chat/289/maf4d3bo/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:16 +0530] "GET /MyChatApp/Register HTTP/1.1" 200 7320
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:16 +0530] "GET /MyChatApp/resource/bootstrap-3.3.6-dist/js/jquery-1.12.3.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:16 +0530] "GET /MyChatApp/resource/bootstrap-3.3.6-dist/css/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:16 +0530] "GET /MyChatApp/resource/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:19 +0530] "GET /MyChatApp/other HTTP/1.1" 200 4415
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/Forum HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/Forum HTTP/1.1" 200 10956
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/resources/js/jquery.rating.pack.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/resources/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/resources/js/jquery-2.2.0.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/resources/js/jquery-2.2.0.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/resources/js/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/resources/js/jquery.rating.pack.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:21 +0530] "GET /MyChatApp/GsonCon1 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:24 +0530] "GET /MyChatApp/ForumView HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:24 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:24 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:24 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:24 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:31 +0530] "GET /MyChatApp/myPage HTTP/1.1" 200 12820
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:31 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:31 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:31 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:31 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:34 +0530] "GET /MyChatApp/other HTTP/1.1" 200 4415
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:44 +0530] "GET /MyChatApp/BlogView HTTP/1.1" 200 7081
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:44 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:44 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:44 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:44 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:45 +0530] "GET /MyChatApp/BlogView HTTP/1.1" 200 7081
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:45 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:45 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:45 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:45 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:48 +0530] "GET /MyChatApp/myPage HTTP/1.1" 200 12820
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:48 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:48 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:48 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:48 +0530] "GET /MyChatApp/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Aug/2016:16:27:49 +0530] "GET /MyChatApp/other HTTP/1.1" 200 4415
